date,temperature_2m_max,temperature_2m_min,DTR,surface_pressure_mean,delta_P,dew_point_2m_mean,precipitation_sum,windspeed_10m_max,pm2_5,pm10,no2,Kp_daily_max,Kp_daily_mean,pm2_5_roll3d,pm2_5_roll7d,pm2_5_roll14d,pm10_roll3d,pm10_roll7d,pm10_roll14d,no2_roll3d,no2_roll7d,no2_roll14d,Kp_daily_max_roll3d,Kp_daily_max_roll7d,Kp_daily_max_roll14d
2020-01-01,5.9,-1.5,7.4,1018.7,,-1.7,0.0,19.2,19.412499999999998,25.333333333333332,18.0125,,,19.412499999999998,19.412499999999998,19.412499999999998,25.333333333333332,25.333333333333332,25.333333333333332,18.0125,18.0125,18.0125,,,
2020-01-02,5.2,-5.6,10.8,1018.8,0.09999999999990905,-3.6,0.0,11.4,35.237500000000004,40.92916666666667,33.175000000000004,,,27.325000000000003,27.325000000000003,27.325000000000003,33.13125,33.13125,33.13125,25.59375,25.59375,25.59375,,,
2020-01-03,-0.5,-4.4,3.9000000000000004,1015.7,-3.099999999999909,-2.9,0.0,7.8,47.62083333333334,54.60833333333333,32.07083333333333,,,34.09027777777778,34.09027777777778,34.09027777777778,40.290277777777774,40.290277777777774,40.290277777777774,27.75277777777778,27.75277777777778,27.75277777777778,,,
2020-01-04,6.0,-2.9,8.9,1009.1,-6.600000000000023,-1.0,0.4,24.8,26.254166666666666,30.558333333333334,20.32916666666667,,,36.37083333333334,32.13125,32.13125,42.03194444444444,37.85729166666666,37.85729166666666,28.525000000000002,25.896875,25.896875,,,
2020-01-05,3.8,-2.0,5.8,1013.2,4.100000000000023,-3.7,0.9,27.7,6.591666666666666,8.691666666666666,9.25,,,26.822222222222223,27.023333333333333,27.023333333333333,31.286111111111108,32.024166666666666,32.024166666666666,20.55,22.567500000000003,22.567500000000003,,,
2020-01-06,2.3,-5.1,7.3999999999999995,1019.4,6.199999999999932,-6.9,0.0,12.6,22.191666666666666,28.541666666666668,35.92916666666667,,,18.34583333333333,26.218055555555555,26.218055555555555,22.597222222222218,31.443749999999998,31.443749999999998,21.83611111111112,24.794444444444448,24.794444444444448,,,
2020-01-07,2.6,-6.1,8.7,1015.7,-3.699999999999932,-6.2,0.0,9.9,33.391666666666666,39.5,47.645833333333336,,,20.724999999999998,27.24285714285714,27.24285714285714,25.577777777777772,32.59464285714286,32.59464285714286,30.941666666666674,28.058928571428574,28.058928571428574,,,
2020-01-08,1.9,-5.8,7.699999999999999,1018.7,3.0,-6.3,0.0,9.2,44.3125,50.69166666666666,49.770833333333336,,,33.29861111111111,30.800000000000004,29.3765625,39.577777777777776,36.217261904761905,34.85677083333333,44.44861111111112,32.59583333333334,30.772916666666667,,,
2020-01-09,1.9,-5.2,7.1,1014.9,-3.800000000000068,-2.7,0.0,9.8,52.729166666666664,57.86666666666667,42.30416666666667,,,43.47777777777778,33.298809523809524,31.9712962962963,49.35277777777777,38.63690476190476,37.41342592592592,46.57361111111112,33.9,32.05416666666667,,,
2020-01-10,2.6,-3.7,6.300000000000001,1010.2,-4.699999999999932,-3.0,0.0,9.2,52.387499999999996,60.1625,31.145833333333332,,,49.80972222222223,33.9797619047619,34.01291666666667,56.24027777777777,39.43035714285714,39.68833333333333,41.07361111111111,33.767857142857146,31.96333333333333,,,
2020-01-11,6.2,-2.7,8.9,1014.8,4.599999999999909,-1.2,0.0,19.9,32.1625,35.875,25.041666666666668,,,45.75972222222222,34.82380952380952,33.84469696969697,51.30138888888888,40.18988095238095,39.34166666666667,32.830555555555556,34.441071428571426,31.33409090909091,,,
2020-01-12,4.8,-2.8,7.6,1017.7,2.900000000000091,-1.7,0.0,9.2,30.27916666666667,34.0875,35.2125,,,38.276388888888896,38.20773809523809,33.54756944444444,43.37499999999999,43.817857142857136,38.903819444444444,30.46666666666667,38.15,31.65729166666667,,,
2020-01-13,0.1,-2.8,2.9,1015.0,-2.7000000000000455,-1.9,0.0,10.7,33.708333333333336,37.166666666666664,33.233333333333334,,,32.050000000000004,39.852976190476184,33.5599358974359,35.70972222222222,45.05,38.770192307692305,31.162500000000005,37.764880952380956,31.77852564102564,,,
2020-01-14,-1.8,-3.3,1.4999999999999998,1013.3,-1.7000000000000455,-3.1,0.0,10.7,35.12916666666667,40.19166666666667,26.683333333333334,,,33.03888888888889,40.10119047619048,33.672023809523814,37.14861111111111,45.148809523809526,38.87172619047619,31.709722222222226,34.7702380952381,31.414583333333333,,,
2020-01-15,0.7,-2.3,3.0,1016.4,3.1000000000000227,-2.2,0.0,10.2,41.458333333333336,46.32083333333333,27.383333333333336,,,36.76527777777778,39.69345238095239,35.24672619047619,41.226388888888884,44.52440476190476,40.37083333333333,29.100000000000005,31.572023809523813,32.08392857142857,,,
2020-01-16,1.8,-2.3,4.1,1018.6,2.2000000000000455,-1.7,0.0,7.2,50.887499999999996,56.74166666666667,30.458333333333332,,,42.49166666666667,39.43035714285714,36.364583333333336,47.75138888888889,44.36369047619048,41.500297619047615,28.175,29.879761904761903,31.889880952380956,,,
2020-01-17,-0.3,-2.8,2.5,1016.9,-1.7000000000000455,-2.3,0.0,10.5,46.40416666666667,50.72083333333333,32.425000000000004,,,46.25,38.57559523809524,36.277678571428574,51.26111111111111,43.014880952380956,41.22261904761905,30.088888888888892,30.062500000000004,31.915178571428573,,,
2020-01-18,-0.1,-2.7,2.6,1013.5,-3.3999999999999773,-2.5,0.0,8.0,39.74166666666667,46.05833333333334,27.5125,,,45.67777777777778,39.65833333333334,37.24107142857143,51.17361111111111,44.46964285714286,42.3297619047619,30.131944444444446,30.41547619047619,32.428273809523816,,,
2020-01-19,0.4,-2.2,2.6,1016.3,2.7999999999999545,-2.0,0.7,7.8,48.074999999999996,54.637499999999996,28.458333333333332,,,44.74027777777778,42.20059523809524,40.20416666666666,50.47222222222221,47.40535714285715,45.611607142857146,29.465277777777782,29.45059523809524,33.80029761904762,,,
2020-01-20,4.3,-3.2,7.5,1029.2,12.900000000000091,-1.3,0.0,8.1,39.800000000000004,43.13333333333333,33.487500000000004,,,42.53888888888889,43.070833333333326,41.46190476190476,47.94305555555555,48.257738095238096,46.65386904761904,29.819444444444446,29.486904761904764,33.62589285714286,,,
2020-01-21,3.6,-2.8,6.4,1030.2,1.0,-1.9,0.0,7.3,35.3125,40.5375,34.512499999999996,,,41.0625,43.09702380952381,41.59910714285714,46.10277777777777,48.30714285714286,46.727976190476184,32.15277777777778,30.605357142857144,32.68779761904762,,,
2020-01-22,1.1,-2.2,3.3000000000000003,1019.4,-10.800000000000068,-2.8,0.0,20.6,31.625,34.0875,25.1125,,,35.57916666666667,41.6922619047619,40.69285714285714,39.25277777777777,46.55952380952381,45.541964285714286,31.037500000000005,30.280952380952385,30.926488095238096,,,
2020-01-23,4.8,-4.2,9.0,1020.4,1.0,-3.6,0.0,19.1,26.508333333333336,31.191666666666666,37.208333333333336,,,31.14861111111111,38.209523809523816,38.81994047619048,35.27222222222222,42.90952380952381,43.636607142857144,32.27777777777778,31.2452380952381,30.5625,,,
2020-01-24,2.7,-5.9,8.600000000000001,1015.7,-4.699999999999932,-4.4,0.0,9.9,41.85,48.7875,43.14166666666667,,,33.32777777777778,37.558928571428574,38.06726190476191,38.02222222222222,42.63333333333333,42.824107142857144,35.15416666666667,32.77619047619048,31.419345238095243,,,
2020-01-25,1.1,-4.9,6.0,1011.4,-4.300000000000068,-3.4,0.0,6.9,58.82083333333333,67.2375,37.020833333333336,,,42.393055555555556,40.28452380952381,39.971428571428575,49.072222222222216,45.658928571428575,45.06428571428571,39.12361111111112,34.13452380952381,32.275,,,
2020-01-26,1.2,-2.8,4.0,1010.3,-1.1000000000000227,-2.5,0.6,7.4,53.875,61.895833333333336,29.9875,,,51.51527777777778,41.11309523809524,41.65684523809524,59.30694444444444,46.69583333333333,47.05059523809524,36.71666666666667,34.35297619047619,31.90178571428572,,,
2020-01-27,3.4,-2.7,6.1,1005.6,-4.699999999999932,-1.6,0.1,8.8,41.824999999999996,48.1875,28.087500000000002,,,51.50694444444445,41.40238095238095,42.236607142857146,59.106944444444444,47.417857142857144,47.83779761904763,31.69861111111111,33.581547619047626,31.534226190476193,,,
2020-01-28,2.0,-1.5,3.5,995.3,-10.300000000000068,-0.0,9.7,14.7,29.141666666666666,31.320833333333336,30.645833333333332,,,41.61388888888889,40.52083333333333,41.80892857142857,47.13472222222222,46.101190476190474,47.204166666666666,29.57361111111111,33.029166666666676,31.81726190476191,,,
2020-01-29,4.2,-0.6,4.8,994.9,-0.39999999999997726,-0.7,0.9,25.4,10.766666666666666,12.4,23.875,,,27.24444444444445,37.541071428571435,39.61666666666666,30.636111111111106,43.0029761904762,44.78125,27.53611111111111,32.852380952380955,31.56666666666667,,,
2020-01-30,7.1,0.1,7.0,1002.7,7.800000000000068,-1.1,0.6,21.6,10.387500000000001,12.637500000000001,20.379166666666666,,,16.76527777777778,35.238095238095234,36.72380952380952,18.786111111111108,40.352380952380955,41.63095238095239,24.96666666666667,30.44821428571429,30.846726190476197,,,
2020-01-31,12.0,-1.1,13.1,997.6,-5.100000000000023,2.8,2.4,21.3,14.270833333333334,16.604166666666668,24.40416666666667,,,11.808333333333337,31.298214285714288,34.42857142857143,13.880555555555551,35.75476190476191,39.19404761904762,22.88611111111111,27.771428571428572,30.273809523809526,,,
2020-02-01,12.3,4.3,8.0,999.1,1.5,5.4,0.0,13.7,15.529166666666667,18.016666666666666,19.8125,,,13.395833333333336,25.113690476190474,32.69910714285714,15.752777777777775,28.72321428571429,37.191071428571426,21.531944444444445,25.313095238095237,29.72380952380953,,,
2020-02-02,13.0,6.3,6.7,998.7,-0.39999999999997726,5.3,1.5,25.3,8.891666666666667,10.262500000000001,13.262500000000001,,,12.897222222222226,18.6875,29.900297619047617,14.961111111111107,21.34702380952381,34.02142857142857,19.159722222222225,22.923809523809528,28.638392857142858,,,
2020-02-03,11.6,7.2,4.3999999999999995,998.0,-0.7000000000000455,5.4,4.1,27.7,5.55,6.616666666666667,10.9375,,,9.99027777777778,13.505357142857141,27.453869047619047,11.631944444444441,15.408333333333335,31.413095238095234,14.670833333333334,20.47380952380953,27.02767857142857,,,
2020-02-04,8.5,3.3,5.2,988.9,-9.100000000000023,2.4,8.7,45.0,6.920833333333333,8.408333333333333,13.529166666666667,,,7.120833333333336,10.33095238095238,25.425892857142856,8.429166666666662,12.135119047619048,29.11815476190476,12.576388888888891,18.028571428571432,25.52886904761905,,,
2020-02-05,8.0,-0.6,8.6,998.4,9.5,-4.3,0.0,35.3,5.716666666666666,7.1125,8.608333333333333,,,6.062500000000003,9.60952380952381,23.575297619047614,7.379166666666662,11.379761904761905,27.191369047619048,11.024999999999999,15.84761904761905,24.35,,,
2020-02-06,4.1,-1.9,6.0,1012.7,14.300000000000068,-5.0,0.0,27.1,10.495833333333334,11.929166666666667,13.0375,,,7.711111111111113,9.625,22.431547619047617,9.149999999999995,11.278571428571428,25.815476190476193,11.725,14.798809523809524,22.623511904761905,,,
2020-02-07,8.4,2.0,6.4,1012.1,-0.6000000000000227,-0.0,0.1,22.7,12.845833333333333,15.0,16.5625,,,9.686111111111112,9.421428571428573,20.35982142857143,11.347222222222216,11.049404761904762,23.402083333333337,12.736111111111109,13.678571428571429,20.725,,,
2020-02-08,3.7,-3.2,6.9,1018.2,6.100000000000023,-7.9,0.0,13.3,16.558333333333334,20.3,27.25,,,13.300000000000002,9.568452380952381,17.34107142857143,15.743055555555552,11.375595238095238,20.049404761904764,18.95,14.741071428571429,20.027083333333334,,,
2020-02-09,7.6,-4.5,12.1,1014.6,-3.6000000000000227,-5.9,0.0,13.2,25.125,28.5,37.67916666666667,,,18.17638888888889,11.887500000000001,15.287499999999998,21.266666666666662,13.980952380952383,17.663988095238096,27.16388888888889,18.229166666666668,20.576488095238094,,,
2020-02-10,13.1,0.6,12.5,996.2,-18.399999999999977,2.6,3.6,34.0,11.012500000000001,14.3125,15.612499999999999,,,17.565277777777784,12.667857142857144,13.086607142857144,21.037499999999994,15.080357142857142,15.244345238095239,26.847222222222225,18.897023809523812,19.68541666666667,,,
2020-02-11,9.2,1.4,7.799999999999999,992.4,-3.800000000000068,-0.2,1.5,31.9,6.533333333333334,8.5875,14.516666666666666,,,14.223611111111113,12.6125,11.47172619047619,17.13333333333333,15.105952380952383,13.620535714285714,22.602777777777778,19.03809523809524,18.533333333333335,,,
2020-02-12,7.2,2.0,5.2,1002.3,9.899999999999977,-2.3,0.5,25.6,5.758333333333333,8.808333333333334,12.700000000000001,,,7.768055555555558,12.618452380952382,11.113988095238096,10.569444444444441,15.348214285714286,13.363988095238097,14.276388888888889,19.62261904761905,17.735119047619047,,,
2020-02-13,8.1,0.5,7.6,1007.0,4.7000000000000455,-0.6,0.5,17.2,10.1875,11.733333333333334,17.466666666666665,,,7.493055555555557,12.574404761904763,11.099702380952381,9.709722222222219,15.320238095238096,13.299404761904762,14.894444444444446,20.255357142857147,17.527083333333334,,,
2020-02-14,9.4,3.2,6.2,1002.2,-4.7999999999999545,2.4,1.3,23.2,14.354166666666666,16.8625,21.170833333333334,,,10.100000000000001,12.789880952380953,11.105654761904763,12.468055555555551,15.586309523809524,13.317857142857145,17.1125,20.913690476190478,17.296130952380953,,,
2020-02-15,9.2,1.4,7.799999999999999,1014.2,12.0,1.8,0.0,16.1,16.733333333333334,18.829166666666666,23.2375,,,13.758333333333335,12.814880952380951,11.191666666666666,15.808333333333328,15.376190476190477,13.375892857142857,20.625,20.340476190476192,17.54077380952381,,,
2020-02-16,10.1,-1.8,11.9,1015.2,1.0,1.5,0.0,18.8,25.77916666666667,29.566666666666666,32.824999999999996,,,18.95555555555556,12.908333333333333,12.397916666666665,21.75277777777777,15.528571428571427,14.754761904761905,25.74444444444444,19.64702380952381,18.938095238095237,,,
2020-02-17,11.5,0.4,11.1,1008.3,-6.900000000000091,2.3,0.0,13.9,26.40833333333333,31.837500000000002,38.074999999999996,,,22.973611111111115,15.107738095238094,13.88779761904762,26.74444444444444,18.032142857142855,16.55625,31.379166666666663,22.85595238095238,20.8764880952381,,,
2020-02-18,11.4,2.0,9.4,1009.1,0.8000000000000682,2.0,0.0,19.4,16.383333333333333,19.045833333333334,23.075,,,22.856944444444448,16.514880952380953,14.563690476190475,26.816666666666663,19.526190476190475,17.31607142857143,31.325,24.078571428571426,21.558333333333334,,,
2020-02-19,9.4,-0.9,10.3,1008.3,-0.8000000000000682,-0.3,1.5,14.0,13.704166666666666,17.929166666666667,29.09583333333333,,,18.831944444444446,17.65,15.13422619047619,22.9375,20.82916666666667,18.088690476190475,30.081944444444442,26.42083333333333,23.02172619047619,,,
2020-02-20,8.4,-0.3,8.700000000000001,1008.9,0.6000000000000227,-0.6,0.2,23.9,11.683333333333332,13.991666666666667,18.474999999999998,,,13.923611111111112,17.863690476190474,15.219047619047618,16.988888888888884,21.151785714285715,18.236011904761906,23.54861111111111,26.56488095238095,23.410119047619048,,,
2020-02-21,7.8,-1.6,9.4,1009.1,0.20000000000004547,-2.2,0.9,35.9,14.637500000000001,17.825,25.400000000000002,,,13.341666666666669,17.904166666666665,15.347023809523808,16.581944444444442,21.289285714285715,18.43779761904762,24.32361111111111,27.16904761904762,24.041369047619046,,,
2020-02-22,9.4,-1.8,11.200000000000001,1015.7,6.600000000000023,-1.9,0.0,18.2,13.845833333333333,17.933333333333334,20.0375,,,13.388888888888891,17.491666666666667,15.15327380952381,16.58333333333333,21.161309523809525,18.26875,21.304166666666664,26.711904761904766,23.526190476190475,,,
2020-02-23,12.3,3.3,9.0,1005.8,-9.900000000000091,1.9,1.5,23.5,12.566666666666668,15.654166666666667,15.641666666666666,,,13.683333333333337,15.604166666666666,14.256249999999998,17.137499999999996,19.173809523809524,17.351190476190474,20.35972222222222,24.25714285714286,21.95208333333333,,,
2020-02-24,14.4,5.1,9.3,1003.5,-2.2999999999999545,-0.3,0.2,35.4,6.966666666666666,9.333333333333334,12.433333333333332,,,11.126388888888892,12.826785714285714,13.967261904761903,14.30694444444444,15.958928571428572,16.995535714285715,16.037499999999998,20.594047619047622,21.724999999999998,,,
2020-02-25,15.2,2.9,12.299999999999999,995.0,-8.5,1.8,0.0,19.7,14.9625,18.099999999999998,19.587500000000002,,,11.498611111111115,12.623809523809525,14.569345238095238,14.362499999999995,15.823809523809524,17.675,15.887499999999998,20.095833333333335,22.08720238095238,,,
2020-02-26,8.2,2.8,5.3999999999999995,985.5,-9.5,3.6,10.1,18.7,11.1625,13.5,20.825,,,11.030555555555559,12.260714285714284,14.955357142857142,13.644444444444439,15.19107142857143,18.010119047619046,17.615277777777777,18.914285714285715,22.667559523809526,,,
2020-02-27,7.8,1.9,5.9,991.7,6.2000000000000455,-2.8,0.0,25.7,9.341666666666667,11.158333333333333,17.5,,,11.822222222222225,11.926190476190476,14.894940476190476,14.252777777777773,14.786309523809523,17.96904761904762,19.304166666666667,18.775000000000002,22.66994047619048,,,
2020-02-28,7.8,0.9,6.8999999999999995,994.7,3.0,-1.5,1.8,32.4,9.779166666666667,11.1625,13.108333333333334,,,10.094444444444447,11.232142857142858,14.568154761904761,11.940277777777773,13.83452380952381,17.561904761904763,17.144444444444442,17.01904761904762,22.09404761904762,,,
2020-02-29,8.9,-3.3,12.2,1002.1,7.399999999999977,-2.5,0.0,22.4,11.529166666666667,13.641666666666667,18.466666666666665,,,10.216666666666669,10.901190476190477,14.196428571428571,11.987499999999995,13.221428571428572,17.191369047619048,16.35833333333333,16.794642857142858,21.75327380952381,,,
2020-03-01,12.4,3.7,8.7,994.6,-7.5,1.7,2.0,15.9,11.945833333333333,15.029166666666667,16.7375,,,11.084722222222226,10.8125,13.208333333333332,13.277777777777773,13.132142857142858,16.152976190476192,16.104166666666668,16.95119047619048,20.604166666666668,,,
2020-03-02,13.4,7.0,6.4,987.7,-6.899999999999977,4.4,13.4,23.0,10.049999999999999,11.441666666666668,15.991666666666667,,,11.175000000000002,11.25297619047619,12.039880952380953,13.37083333333333,13.433333333333334,14.696130952380953,17.065277777777776,17.459523809523812,19.026785714285715,,,
2020-03-03,11.6,6.2,5.3999999999999995,987.4,-0.3000000000000682,6.7,7.0,12.4,13.683333333333332,16.179166666666667,27.849999999999998,,,11.893055555555557,11.070238095238095,11.84702380952381,14.216666666666663,13.158928571428573,14.491369047619047,20.193055555555553,18.639880952380956,19.36785714285714,,,
2020-03-04,7.1,1.8,5.3,995.2,7.800000000000068,2.5,2.4,24.2,11.737499999999999,13.141666666666666,14.295833333333334,,,11.823611111111113,11.152380952380952,11.706547619047617,13.587499999999997,13.107738095238094,14.14940476190476,19.379166666666666,17.70714285714286,18.310714285714287,,,
2020-03-05,10.3,-0.9,11.200000000000001,997.2,2.0,-1.5,0.0,12.6,19.016666666666666,21.8625,26.087500000000002,,,14.812500000000002,12.53452380952381,12.230357142857143,17.061111111111106,14.636904761904763,14.711607142857144,22.744444444444444,18.933928571428574,18.85446428571429,,,
2020-03-06,6.2,2.2,4.0,989.5,-7.7000000000000455,2.2,12.1,14.5,21.0625,23.291666666666668,29.400000000000002,,,17.272222222222226,14.146428571428572,12.689285714285715,19.43194444444444,16.369642857142857,15.102083333333335,23.26111111111111,21.261309523809526,19.140178571428574,,,
2020-03-07,9.9,2.2,7.7,997.0,7.5,1.8,0.0,22.4,15.804166666666667,17.041666666666668,14.379166666666668,,,18.62777777777778,14.757142857142856,12.829166666666667,20.73194444444444,16.85535714285714,15.038392857142856,23.28888888888889,20.677380952380954,18.736011904761906,,,
2020-03-08,10.0,2.3,7.7,1005.7,8.700000000000045,0.0,0.0,19.2,14.595833333333333,15.691666666666668,14.108333333333334,,,17.154166666666672,15.135714285714284,12.974107142857145,18.674999999999997,16.950000000000003,15.04107142857143,19.295833333333334,20.301785714285717,18.626488095238095,,,
2020-03-09,10.1,-1.1,11.2,1002.0,-3.7000000000000455,-1.2,0.0,9.4,24.020833333333332,27.920833333333334,38.737500000000004,,,18.14027777777778,17.131547619047616,14.192261904761905,20.21805555555555,19.304166666666667,16.368750000000002,22.408333333333335,23.551190476190477,20.505357142857147,,,
